,date,raw_daily,raw_weekly,harmonized_daily,region,keyword
0,2020-01-01,68,36,13.057852,US,Budweiser
1,2020-01-02,47,36,9.02528,US,Budweiser
2,2020-01-03,45,36,8.6412258,US,Budweiser
3,2020-01-04,52,36,9.9854164,US,Budweiser
4,2020-01-05,60,34,11.276683,US,Budweiser
5,2020-01-06,39,34,7.3298435,US,Budweiser
6,2020-01-07,34,34,6.39012,US,Budweiser
7,2020-01-08,38,34,7.1418991,US,Budweiser
8,2020-01-09,51,34,9.5851812,US,Budweiser
9,2020-01-10,60,34,11.276683,US,Budweiser
10,2020-01-11,76,34,14.283798,US,Budweiser
11,2020-01-12,74,40,14.114902,US,Budweiser
12,2020-01-13,59,40,11.253774,US,Budweiser
13,2020-01-14,58,40,11.06303,US,Budweiser
14,2020-01-15,51,40,9.7278376,US,Budweiser
15,2020-01-16,50,40,9.5370951,US,Budweiser
16,2020-01-17,59,40,11.253774,US,Budweiser
17,2020-01-18,64,40,12.207482,US,Budweiser
18,2020-01-19,66,37,12.584867,US,Budweiser
19,2020-01-20,50,37,9.5339918,US,Budweiser
20,2020-01-21,46,37,8.7712717,US,Budweiser
21,2020-01-22,41,37,7.8178725,US,Budweiser
22,2020-01-23,50,37,9.5339918,US,Budweiser
23,2020-01-24,65,37,12.394189,US,Budweiser
24,2020-01-25,66,37,12.584867,US,Budweiser
25,2020-01-26,65,50,14.785238,US,Budweiser
26,2020-01-27,51,50,11.600726,US,Budweiser
27,2020-01-28,53,50,12.055656,US,Budweiser
28,2020-01-29,58,50,13.192983,US,Budweiser
29,2020-01-30,100,50,22.746521,US,Budweiser
30,2020-01-31,91,50,20.699333,US,Budweiser
31,2020-02-01,17,50,3.8669088,US,Budweiser
32,2020-02-02,26,100,25.855591,US,Budweiser
33,2020-02-03,100,100,99.444588,US,Budweiser
34,2020-02-04,22,100,21.877808,US,Budweiser
35,2020-02-05,14,100,13.922242,US,Budweiser
36,2020-02-06,11,100,10.938904,US,Budweiser
37,2020-02-07,12,100,11.933351,US,Budweiser
38,2020-02-08,14,100,13.922242,US,Budweiser
39,2020-02-09,12,34,11.873684,US,Budweiser
40,2020-02-10,9,34,8.9052629,US,Budweiser
41,2020-02-11,8,34,7.9157891,US,Budweiser
42,2020-02-12,9,34,8.9052629,US,Budweiser
43,2020-02-13,9,34,8.9052629,US,Budweiser
44,2020-02-14,10,34,9.8947363,US,Budweiser
45,2020-02-15,11,34,10.88421,US,Budweiser
46,2020-02-16,13,33,12.863157,US,Budweiser
47,2020-02-17,9,33,8.9052629,US,Budweiser
48,2020-02-18,8,33,7.9157891,US,Budweiser
49,2020-02-19,8,33,7.9157891,US,Budweiser
50,2020-02-20,8,33,7.9157891,US,Budweiser
51,2020-02-21,9,33,8.9052629,US,Budweiser
52,2020-02-22,11,33,10.88421,US,Budweiser
53,2020-02-23,10,33,9.8947363,US,Budweiser
54,2020-02-24,7,33,6.9263153,US,Budweiser
55,2020-02-25,8,33,7.9157891,US,Budweiser
56,2020-02-26,9,33,8.9052629,US,Budweiser
57,2020-02-27,10,33,9.8947363,US,Budweiser
58,2020-02-28,11,33,10.88421,US,Budweiser
59,2020-02-29,11,33,10.88421,US,Budweiser
60,2020-03-01,76,37,10.305184,US,Budweiser
61,2020-03-02,69,37,9.3560228,US,Budweiser
62,2020-03-03,64,37,8.67805,US,Budweiser
63,2020-03-04,70,37,9.4916172,US,Budweiser
64,2020-03-05,70,37,9.4916172,US,Budweiser
65,2020-03-06,91,37,12.339102,US,Budweiser
66,2020-03-07,100,37,13.559453,US,Budweiser
