Category: All categories

Region,Coca Cola: (6/20/21 - 6/21/21)
Montana,100
Georgia,85
New Hampshire,78
Nevada,73
Alabama,51
Rhode Island,49
Kentucky,49
Iowa,48
Oklahoma,45
Wisconsin,44
Florida,44
Indiana,43
Arizona,42
Texas,42
Nebraska,41
Ohio,40
Oregon,40
North Carolina,40
California,39
New Jersey,37
Illinois,37
Arkansas,36
Mississippi,35
Maryland,34
Pennsylvania,32
Michigan,32
Kansas,32
Idaho,32
Minnesota,31
South Carolina,29
Louisiana,29
Colorado,28
New York,25
Washington,24
Massachusetts,19
Tennessee,15
Utah,15
Virginia,8
Alaska,
New Mexico,
North Dakota,
South Dakota,
Missouri,
Maine,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Connecticut,
West Virginia,
Wyoming,
