,date,raw_daily,raw_weekly,harmonized_daily,region,keyword
0,2015-01-01,87,55.0,31.938501,US,Coca_Cola
1,2015-01-02,76,55.0,27.900299,US,Coca_Cola
2,2015-01-03,89,55.0,32.672718,US,Coca_Cola
3,2015-01-04,73,53.0,25.182062,US,Coca_Cola
4,2015-01-05,84,53.0,28.976622,US,Coca_Cola
5,2015-01-06,85,53.0,29.321581,US,Coca_Cola
6,2015-01-07,90,53.0,31.046377,US,Coca_Cola
7,2015-01-08,100,53.0,34.495975,US,Coca_Cola
8,2015-01-09,97,53.0,33.461098,US,Coca_Cola
9,2015-01-10,74,53.0,25.527021,US,Coca_Cola
10,2015-01-11,84,58.0,31.44949,US,Coca_Cola
11,2015-01-12,87,58.0,32.572689,US,Coca_Cola
12,2015-01-13,91,58.0,34.070282,US,Coca_Cola
13,2015-01-14,98,58.0,36.691071,US,Coca_Cola
14,2015-01-15,88,58.0,32.947086,US,Coca_Cola
15,2015-01-16,81,58.0,30.326294,US,Coca_Cola
16,2015-01-17,79,58.0,29.577497,US,Coca_Cola
17,2015-01-18,74,54.0,25.501181,US,Coca_Cola
18,2015-01-19,87,54.0,29.981117,US,Coca_Cola
19,2015-01-20,93,54.0,32.048779,US,Coca_Cola
20,2015-01-21,92,54.0,31.704168,US,Coca_Cola
21,2015-01-22,100,54.0,34.461056,US,Coca_Cola
22,2015-01-23,94,54.0,32.393391,US,Coca_Cola
23,2015-01-24,75,54.0,25.845789,US,Coca_Cola
24,2015-01-25,80,54.0,27.214827,US,Coca_Cola
25,2015-01-26,90,54.0,30.61668,US,Coca_Cola
26,2015-01-27,89,54.0,30.276495,US,Coca_Cola
27,2015-01-28,99,54.0,33.678349,US,Coca_Cola
28,2015-01-29,95,54.0,32.317608,US,Coca_Cola
29,2015-01-30,96,54.0,32.657791,US,Coca_Cola
30,2015-01-31,74,54.0,25.173716,US,Coca_Cola
31,2015-02-01,62,70.0,32.138363,US,Coca_Cola
32,2015-02-02,100,70.0,51.836067,US,Coca_Cola
