Category: All categories

Region,Heineken: (6/10/21 - 6/11/21)
Vermont,100
Delaware,38
Maine,27
Mississippi,24
Oregon,18
Hawaii,17
Connecticut,12
Louisiana,9
Kentucky,8
Indiana,6
Illinois,6
Florida,5
California,4
Virginia,4
Maryland,4
Arizona,4
Michigan,3
Washington,3
Georgia,3
Tennessee,3
New Jersey,3
New York,2
Texas,1
Alaska,
Wyoming,
Minnesota,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Massachusetts,
New Mexico,
Nevada,
Kansas,
Ohio,
Oklahoma,
Idaho,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Iowa,
District of Columbia,
Utah,
Colorado,
Arkansas,
Alabama,
Wisconsin,
West Virginia,
Missouri,
