,date,raw_daily,raw_weekly,harmonized_daily,region,keyword
0,2021-01-01,27,75,27.986708,US,Heineken
1,2021-01-02,16,75,16.584717,US,Heineken
2,2021-01-03,18,62,18.422855,US,Heineken
3,2021-01-04,17,62,17.399363,US,Heineken
4,2021-01-05,22,62,22.516825,US,Heineken
5,2021-01-06,13,62,13.305396,US,Heineken
6,2021-01-07,14,62,14.328888,US,Heineken
7,2021-01-08,17,62,17.399363,US,Heineken
8,2021-01-09,25,62,25.587299,US,Heineken
9,2021-01-10,100,100,100.0,US,Heineken
10,2021-01-11,19,100,19.0,US,Heineken
11,2021-01-12,17,100,17.0,US,Heineken
12,2021-01-13,14,100,14.0,US,Heineken
13,2021-01-14,16,100,16.0,US,Heineken
14,2021-01-15,16,100,16.0,US,Heineken
15,2021-01-16,26,100,26.0,US,Heineken
16,2021-01-17,19,64,19.161211,US,Heineken
17,2021-01-18,16,64,16.135756,US,Heineken
18,2021-01-19,20,64,20.169695,US,Heineken
19,2021-01-20,19,64,19.161211,US,Heineken
20,2021-01-21,18,64,18.152725,US,Heineken
21,2021-01-22,16,64,16.135756,US,Heineken
22,2021-01-23,24,64,24.203634,US,Heineken
23,2021-01-24,22,57,22.293333,US,Heineken
24,2021-01-25,10,57,10.133333,US,Heineken
25,2021-01-26,15,57,15.200001,US,Heineken
26,2021-01-27,21,57,21.279999,US,Heineken
27,2021-01-28,17,57,17.226665,US,Heineken
28,2021-01-29,13,57,13.173333,US,Heineken
29,2021-01-30,19,57,19.253334,US,Heineken
30,2021-01-31,21,58,6.8843474,US,Heineken
31,2021-02-01,59,58,19.341738,US,Heineken
32,2021-02-02,37,58,12.129564,US,Heineken
33,2021-02-03,51,58,16.71913,US,Heineken
34,2021-02-04,51,58,16.71913,US,Heineken
35,2021-02-05,69,58,22.619999,US,Heineken
36,2021-02-06,80,58,26.226086,US,Heineken
37,2021-02-07,100,63,28.120171,US,Heineken
38,2021-02-08,69,63,19.402918,US,Heineken
39,2021-02-09,48,63,13.497682,US,Heineken
40,2021-02-10,58,63,16.309698,US,Heineken
41,2021-02-11,60,63,16.872103,US,Heineken
42,2021-02-12,57,63,16.028498,US,Heineken
43,2021-02-13,74,63,20.808926,US,Heineken
44,2021-02-14,74,54,20.727381,US,Heineken
45,2021-02-15,55,54,15.405485,US,Heineken
46,2021-02-16,36,54,10.083591,US,Heineken
47,2021-02-17,51,54,14.285087,US,Heineken
48,2021-02-18,56,54,15.685586,US,Heineken
49,2021-02-19,53,54,14.845286,US,Heineken
50,2021-02-20,76,54,21.28758,US,Heineken
51,2021-02-21,75,51,21.047617,US,Heineken
52,2021-02-22,54,51,15.154284,US,Heineken
53,2021-02-23,48,51,13.470475,US,Heineken
54,2021-02-24,52,51,14.593015,US,Heineken
55,2021-02-25,52,51,14.593015,US,Heineken
56,2021-02-26,48,51,13.470475,US,Heineken
57,2021-02-27,49,51,13.751109,US,Heineken
58,2021-02-28,71,57,17.392063,US,Heineken
59,2021-03-01,68,57,16.657188,US,Heineken
60,2021-03-02,66,57,16.167271,US,Heineken
61,2021-03-03,72,57,17.637022,US,Heineken
62,2021-03-04,55,57,13.472725,US,Heineken
63,2021-03-05,58,57,14.207601,US,Heineken
64,2021-03-06,94,57,23.026112,US,Heineken
65,2021-03-07,78,53,18.939911,US,Heineken
66,2021-03-08,58,53,14.083524,US,Heineken
67,2021-03-09,53,53,12.869427,US,Heineken
68,2021-03-10,50,53,12.140968,US,Heineken
69,2021-03-11,63,53,15.297621,US,Heineken
70,2021-03-12,63,53,15.297621,US,Heineken
71,2021-03-13,89,53,21.610926,US,Heineken
72,2021-03-14,75,55,18.139534,US,Heineken
73,2021-03-15,53,55,12.818604,US,Heineken
74,2021-03-16,65,55,15.72093,US,Heineken
75,2021-03-17,59,55,14.269767,US,Heineken
76,2021-03-18,81,55,19.590698,US,Heineken
77,2021-03-19,49,55,11.851163,US,Heineken
78,2021-03-20,91,55,22.009302,US,Heineken
79,2021-03-21,65,47,14.607815,US,Heineken
80,2021-03-22,52,47,11.686252,US,Heineken
81,2021-03-23,51,47,11.461516,US,Heineken
82,2021-03-24,42,47,9.4388962,US,Heineken
83,2021-03-25,61,47,13.708873,US,Heineken
84,2021-03-26,64,47,14.38308,US,Heineken
85,2021-03-27,100,47,22.473562,US,Heineken
86,2021-03-28,82,56,21.512072,US,Heineken
87,2021-03-29,60,56,15.74054,US,Heineken
88,2021-03-30,54,56,14.166485,US,Heineken
89,2021-03-31,62,56,16.265224,US,Heineken
90,2021-04-01,46,56,12.067747,US,Heineken
91,2021-04-02,58,56,15.215855,US,Heineken
92,2021-04-03,82,56,21.512072,US,Heineken
93,2021-04-04,100,56,26.838707,US,Heineken
94,2021-04-05,47,56,12.614192,US,Heineken
95,2021-04-06,41,56,11.00387,US,Heineken
96,2021-04-07,47,56,12.614192,US,Heineken
97,2021-04-08,65,56,17.44516,US,Heineken
98,2021-04-09,61,56,16.371611,US,Heineken
99,2021-04-10,73,56,19.592255,US,Heineken
100,2021-04-11,75,50,20.051413,US,Heineken
101,2021-04-12,49,50,13.100256,US,Heineken
102,2021-04-13,53,50,14.169664,US,Heineken
103,2021-04-14,28,50,7.4858603,US,Heineken
104,2021-04-15,61,50,16.308481,US,Heineken
105,2021-04-16,57,50,15.239074,US,Heineken
106,2021-04-17,66,50,17.645243,US,Heineken
107,2021-04-18,81,51,21.427629,US,Heineken
108,2021-04-19,53,51,14.020548,US,Heineken
109,2021-04-20,38,51,10.052468,US,Heineken
110,2021-04-21,61,51,16.136858,US,Heineken
111,2021-04-22,39,51,10.317007,US,Heineken
112,2021-04-23,58,51,15.343242,US,Heineken
113,2021-04-24,71,51,18.782244,US,Heineken
114,2021-04-25,77,53,20.553217,US,Heineken
115,2021-04-26,41,53,10.943922,US,Heineken
116,2021-04-27,57,53,15.21472,US,Heineken
117,2021-04-28,56,53,14.947796,US,Heineken
118,2021-04-29,62,53,16.549345,US,Heineken
119,2021-04-30,58,53,15.481645,US,Heineken
120,2021-05-01,62,53,16.549345,US,Heineken
