Category: All categories

Country,Heineken: (6/8/21 - 6/9/21)
St Martin,100
Antigua & Barbuda,31
Aruba,29
Congo - Brazzaville,14
St Helena,4
Botswana,4
Guinea,3
Benin,3
Ethiopia,3
Netherlands,1
Armenia,1
Angola,1
North Macedonia,1
Estonia,1
Luxembourg,1
Qatar,1
Brazil,1
Slovenia,1
Paraguay,1
Puerto Rico,1
Nicaragua,1
Jordan,1
Romania,1
Ireland,1
Syria,1
United Arab Emirates,<1
Switzerland,<1
Finland,<1
Croatia,<1
Kenya,<1
Slovakia,<1
Bulgaria,<1
South Africa,<1
Uzbekistan,<1
United Kingdom,<1
Poland,<1
Venezuela,<1
Mexico,<1
Denmark,<1
Portugal,<1
Sweden,<1
Malaysia,<1
Serbia,<1
Vietnam,<1
Chile,<1
Peru,<1
Italy,<1
France,<1
Argentina,<1
Spain,<1
Egypt,<1
Germany,<1
Belgium,<1
Austria,<1
Canada,<1
Czechia,<1
Hungary,<1
Philippines,<1
Colombia,<1
Ecuador,<1
Thailand,<1
Australia,<1
United States,<1
Indonesia,<1
Türkiye,<1
India,<1
Taiwan,<1
Ukraine,<1
Russia,<1
French Southern Territories,
North Korea,
Anguilla,
Falkland Islands (Islas Malvinas),
Eritrea,
Micronesia,
Samoa,
Solomon Islands,
St Vincent & the Grenadines,
Cape Verde,
Liberia,
Mauritania,
Libya,
Laos,
Zimbabwe,
Ghana,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Guernsey,
Haiti,
Georgia,
Gabon,
Isle of Man,
Faroe Islands,
British Indian Ocean Territory,
Fiji,
Iran,
Iraq,
Iceland,
Israel,
Western Sahara,
Jamaica,
Jersey,
Algeria,
Japan,
Kazakhstan,
Dominican Republic,
Kyrgyzstan,
Cambodia,
Kiribati,
St Kitts & Nevis,
South Korea,
Kuwait,
Dominica,
Djibouti,
Lebanon,
Cyprus,
St Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Cayman Islands,
Latvia,
Macao,
Christmas Island,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Curaçao,
Marshall Islands,
Cuba,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Costa Rica,
Montserrat,
Martinique,
Mauritius,
Malawi,
Comoros,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Cook Islands,
Niue,
Gibraltar,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Cameroon,
Côte d’Ivoire,
Palau,
Papua New Guinea,
China,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Bhutan,
Palestine,
French Polynesia,
Brunei,
Réunion,
Barbados,
Bolivia,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
Bermuda,
Svalbard & Jan Mayen,
Belize,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St Pierre & Miquelon,
Belarus,
South Sudan,
São Tomé & Príncipe,
Suriname,
St Barthélemy,
Bosnia & Herzegovina,
Bahamas,
Eswatini,
Sint Maarten,
Seychelles,
Bahrain,
Turks & Caicos Islands,
Chad,
Togo,
Bangladesh,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Burkina Faso,
Tuvalu,
Caribbean Netherlands,
Tanzania,
Uganda,
Burundi,
US Outlying Islands,
Uruguay,
Azerbaijan,
Antarctica,
Vatican City,
American Samoa,
Andorra,
British Virgin Islands,
US Virgin Islands,
Albania,
Vanuatu,
Wallis & Futuna,
Åland Islands,
Kosovo,
Yemen,
Afghanistan,
Zambia,
Congo - Kinshasa,
